Parallel_Time,Series_Time,Num1_Time,Num2_Time
0.044,0.085,0.043,0.041
0.125,0.211,0.089,0.122
0.269,0.298,0.023,0.275
0.627,0.856,0.231,0.625
0.364,0.223,0.105,0.118
1.773,1.928,0.149,1.779
0.243,0.453,0.237,0.215
0.075,0.094,0.069,0.025
0.109,0.159,0.105,0.054
0.242,0.316,0.238,0.077
0.081,0.126,0.047,0.079
0.17,0.225,0.056,0.169
1.139,3.434,1.135,2.299
0.758,0.773,0.02,0.753
0.191,0.237,0.046,0.191
0.128,1.571,0.127,1.444
0.597,0.683,0.086,0.597
0.078,0.112,0.072,0.039
0.527,0.552,0.522,0.03
1.402,1.895,1.413,0.482
0.182,0.226,0.047,0.179
0.549,0.859,0.549,0.31
1.885,2.896,1.006,1.89
0.087,0.111,0.084,0.027
1.302,1.427,0.118,1.309
0.723,0.94,0.723,0.216
0.156,0.223,0.152,0.071
0.303,0.376,0.09,0.286
0.395,0.444,0.397,0.047
0.159,0.218,0.058,0.159
1.091,1.673,0.582,1.09
1.792,1.831,1.786,0.045
1.719,1.85,1.715,0.135
2.14,2.211,0.06,2.151
1.65,2.517,0.859,1.657
1.774,3.37,1.587,1.783
0.136,0.197,0.064,0.133
1.422,1.955,1.421,0.534
1.978,2.786,0.794,1.992
0.041,0.063,0.025,0.038
1.139,1.66,1.138,0.521
1.961,1.964,1.951,0.013
0.668,0.799,0.128,0.671
1.415,1.433,1.416,0.017
0.232,0.395,0.159,0.236
1.284,1.711,1.283,0.427
0.06,0.112,0.057,0.055
0.516,0.556,0.514,0.042
0.548,1.079,0.529,0.55
0.151,0.213,0.15,0.063
0.705,0.939,0.229,0.71
0.709,0.786,0.072,0.714
2.293,3.301,2.284,1.017
1.148,1.678,1.145,0.533
0.05,0.08,0.046,0.034
1.042,1.207,0.154,1.053
0.076,0.123,0.046,0.077
0.091,0.126,0.035,0.091
0.193,0.227,0.191,0.035
0.087,0.166,0.082,0.084
1.539,1.563,1.538,0.024
1.664,2.09,0.414,1.675
0.153,0.175,0.023,0.152
2.477,2.805,0.312,2.492
0.978,1.243,0.26,0.982
1.714,1.933,0.205,1.728
2.03,2.081,0.038,2.042
0.359,0.561,0.354,0.206
0.139,0.221,0.136,0.085
0.201,0.23,0.027,0.203
2.738,3.487,2.735,0.752
0.212,0.277,0.209,0.067
0.179,0.337,0.176,0.16
0.584,0.64,0.586,0.054
0.292,0.409,0.286,0.122
2.32,4.265,2.319,1.946
0.442,0.601,0.153,0.447
1.805,1.831,0.013,1.818
2.25,2.388,2.243,0.145
0.121,0.181,0.118,0.062
0.319,0.34,0.02,0.319
0.2,0.362,0.162,0.199
0.428,0.496,0.047,0.449
0.928,1.203,0.924,0.278
1.687,3.112,1.642,1.47
0.805,0.835,0.027,0.807
0.4,0.437,0.035,0.401
0.043,0.061,0.041,0.02
2.703,2.739,0.017,2.721
1.72,3.052,1.709,1.343
0.195,0.314,0.121,0.193
1.724,2.151,0.414,1.737
0.845,0.882,0.844,0.038
0.525,0.901,0.522,0.379
0.259,0.308,0.051,0.257
1.182,1.415,1.18,0.234
0.086,0.129,0.083,0.046
0.571,0.63,0.569,0.06
0.915,0.997,0.079,0.916
0.867,0.91,0.043,0.867
0.076,0.199,0.076,0.123
0.056,0.108,0.053,0.055
0.146,0.176,0.142,0.033
0.04,0.047,0.038,0.009
0.172,0.268,0.096,0.172
0.184,0.234,0.051,0.182
0.269,0.304,0.262,0.041
0.164,1.584,0.164,1.42
0.067,0.084,0.017,0.067
1.422,1.528,1.42,0.108
1.734,1.951,1.729,0.222
0.265,0.349,0.083,0.265
0.385,0.741,0.353,0.388
0.246,0.306,0.244,0.061
0.478,0.57,0.474,0.096
1.424,1.696,1.423,0.273
1.94,2.007,0.054,1.953
0.797,1.58,0.8,0.779
0.442,0.561,0.438,0.122
0.403,0.462,0.398,0.064
0.119,0.18,0.053,0.127
0.087,0.093,0.08,0.012
1.734,1.881,1.742,0.139
0.171,0.318,0.169,0.149
0.414,0.485,0.395,0.089
0.824,0.977,0.145,0.832
0.238,0.285,0.044,0.241
0.233,0.308,0.228,0.08
0.036,0.05,0.03,0.02
0.088,0.167,0.078,0.089
0.628,0.697,0.07,0.627
0.301,0.32,0.017,0.303
0.242,0.32,0.076,0.244
0.754,0.83,0.75,0.08
2.502,2.535,0.014,2.521
0.101,0.136,0.097,0.039
0.377,0.426,0.051,0.374
0.07,0.079,0.066,0.013
0.356,0.601,0.242,0.359
1.496,1.728,1.494,0.234
1.755,2.083,0.312,1.771
1.747,1.931,0.168,1.763
1.37,1.405,0.024,1.381
0.312,0.411,0.098,0.313
0.633,0.759,0.122,0.637
0.561,0.882,0.556,0.325
0.142,0.197,0.139,0.058
0.053,0.081,0.028,0.052
1.853,1.872,1.85,0.022
0.155,0.234,0.082,0.152
1.971,2.053,0.067,1.986
0.078,0.091,0.01,0.081
1.166,1.198,0.027,1.171
0.85,0.992,0.137,0.854
0.405,0.585,0.397,0.188
0.582,0.672,0.581,0.091
1.356,1.412,1.342,0.07
0.294,0.477,0.184,0.293
0.046,0.076,0.032,0.043
0.223,0.235,0.217,0.018
1.646,1.801,0.14,1.661
0.658,0.915,0.252,0.663
0.504,0.646,0.138,0.508
0.277,0.324,0.271,0.052
0.285,0.555,0.268,0.287
1.513,2.31,1.506,0.804
1.263,1.431,0.153,1.278
0.715,0.913,0.709,0.204
0.382,0.522,0.379,0.143
2.714,3.266,0.536,2.729
0.761,0.813,0.048,0.764
0.187,0.205,0.018,0.187
0.571,1.011,0.437,0.574
0.078,0.12,0.076,0.044
1.03,1.249,0.206,1.043
0.903,1.732,0.827,0.905
0.925,1.791,0.856,0.935
0.296,0.381,0.085,0.296
0.479,0.951,0.479,0.472
0.391,0.425,0.387,0.037
0.583,0.633,0.582,0.05
0.591,0.699,0.592,0.107
0.664,0.852,0.661,0.191
2.299,3.715,2.302,1.413
0.076,0.142,0.075,0.067
0.208,0.28,0.206,0.074
2.475,2.532,2.471,0.06
2.133,2.237,2.15,0.087
1.769,2.055,1.774,0.281
0.391,0.447,0.386,0.061
0.053,0.089,0.039,0.05
0.423,0.513,0.417,0.095
1.89,1.99,0.079,1.911
2.929,2.893,0.032,2.861
1.18,1.233,1.179,0.053
2.03,2.362,0.321,2.041
0.806,0.866,0.812,0.054
0.451,0.601,0.151,0.45
2.72,3.344,0.6,2.744
0.5,0.706,0.201,0.504
0.411,0.787,0.371,0.415
0.159,0.295,0.137,0.157
0.549,0.712,0.544,0.167
2.658,2.701,0.022,2.679
2.741,5.351,2.573,2.777
1.128,2.084,1.006,1.077
1.092,2.262,1.092,1.168
0.022,0.039,0.02,0.018
0.399,0.767,0.369,0.398
0.045,0.086,0.042,0.044
0.147,0.278,0.134,0.144
2.058,4.02,1.942,2.076
0.094,0.177,0.086,0.091
1.856,3.906,1.855,2.049
0.162,0.335,0.16,0.175
0.442,0.857,0.413,0.443
0.083,0.162,0.077,0.084
0.217,0.419,0.2,0.218
0.047,0.094,0.044,0.048
0.534,1.043,0.498,0.545
0.773,1.497,0.719,0.777
1.375,2.963,1.432,1.531
0.054,0.105,0.051,0.053
0.386,0.747,0.358,0.388
0.143,0.274,0.131,0.142
0.016,0.025,0.012,0.012
0.534,1.052,0.499,0.552
0.067,0.129,0.061,0.067
0.092,0.172,0.081,0.09
